

Here are the 16 flight plans:

IAH | PHL | United | Non-stop | 06:00 | 10:05 | 258.00
IAH | CPT | KLM | 2 (AMS, JNB) | 21:30 | 18:00 | 1300.00
IAH | CPT | Air France | 1 (CDG) | 22:45 | 19:15 | 1450.00

CPT | IAH | United | 1 (LHR) | 08:00 | 18:30 | 1200.00
CPT | IAH | Lufthansa | 2 (JNB, FRA) | 10:30 | 22:15 | 1500.00
CPT | IAH | Emirates | 1 (DXB) | 12:45 | 02:10 | 1800.00
CPT | IAH | Qatar | 1 (DOH) | 15:00 | 04:30 | 1600.00
CPT | IAH | South African | 0 | 18:00 | 14:00 | 1000.00
CPT | IAH | Turkish | 1 (IST) | 20:15 | 16:45 | 1400.00
CPT | IAH | KLM | 2 (JNB, AMS) | 21:30 | 18:00 | 1300.00
CPT | IAH | Air France | 1 (CDG) | 22:45 | 19:15 | 1450.00


Here are the 16 flight plans:

IAH | CPH | Lufthansa | 1 (FRA) | 14:30 | 06:30 | 850.00
IAH | CPH | United | 0 | 16:45 | 08:15 | 950.00
IAH | CPH | SAS | 1 (OSL) | 10:00 | 05:00 | 780.00
IAH | CPH | American | 2 (PHL, AMS) | 12:15 | 09:30 | 1100.00
IAH | CPH | British Airways | 1 (LHR) | 11:30 | 06:45 | 900.00
IAH | CPH | Turkish Airlines | 1 (IST) | 13:45 | 08:00 | 1000.00
IAH | CPH | KLM | 1 (AMS) | 09:00 | 04:30 | 850.00
IAH | CPH | Delta | 0 | 15:15 | 07:45 | 1050.00
CPH | IAH | SAS | 1 (OSL) | 12:30 | 16:30 | 820.00
CPH | IAH | Lufthansa | 1 (FRA) | 09:45 | 14:15 | 930.00
CPH | IAH | United | 0 | 11:00 | 15:30 | 980.00
CPH | IAH | American | 2 (PHL, AMS) | 14:00 | 19:30 | 1200.00
CPH | IAH | British Airways | 1 (LHR) | 10:15 | 15:45 | 960.00
CPH | IAH | Turkish Airlines | 1 (IST) | 16:45 | 21:00 | 1100.00
CPH | IAH | KLM | 1 (AMS) | 08:30 | 13:00 | 890.00
CPH | IAH | Delta | 0 | 13:15 | 18:45 | 1080.00


Here are the 16 flight plans:

IAH | DXB | Emirates | Non-stop | 08:00 | 19:30 | 850.00
IAH | DXB | Qatar Airways | 1 stop (DOH) | 09:15 | 21:45 | 950.00
IAH | DXB | Lufthansa | 1 stop (FRA) | 10:30 | 22:15 | 1050.00
IAH | DXB | Turkish Airlines | 1 stop (IST) | 11:45 | 23:00 | 900.00
IAH | DXB | American Airlines | 2 stops (PHL, LHR) | 12:00 | 01:30 | 1200.00
IAH | DXB | British Airways | 1 stop (LHR) | 13:15 | 00:45 | 1100.00
IAH | DXB | KLM | 1 stop (AMS) | 14:30 | 02:15 | 1000.00
IAH | DXB | United Airlines | Non-stop | 15:45 | 03:30 | 900.00
DXB | IAH | Emirates | Non-stop | 02:00 | 08:30 | 800.00
DXB | IAH | Qatar Airways | 1 stop (DOH) | 03:15 | 10:45 | 900.00
DXB | IAH | Lufthansa | 1 stop (FRA) | 04:30 | 12:15 | 1000.00
DXB | IAH | Turkish Airlines | 1 stop (IST) | 05:45 | 13:00 | 850.00
DXB | IAH | American Airlines | 2 stops (LHR, PHL) | 06:00 | 14:30 | 1150.00
DXB | IAH | British Airways | 1 stop (LHR) | 07:15 | 15:45 | 1050.00
DXB | IAH | KLM | 1 stop (AMS) | 08:30 | 16:15 | 950.00
DXB | IAH | United Airlines | Non-stop | 09:45 | 17:30 | 850.00


Here are the 16 flight plans:

IAH | DUB | United | 1 (LHR) | 14:30 | 06:15 | 850.00
IAH | DUB | Lufthansa | 2 (FRA, MAN) | 10:45 | 08:50 | 1100.00
IAH | DUB | American | 0 | 16:00 | 08:30 | 900.00
IAH | DUB | Delta | 1 (AMS) | 18:15 | 10:20 | 950.00
IAH | DUB | Aer Lingus | 0 | 12:30 | 06:00 | 800.00
IAH | DUB | British Airways | 1 (LHR) | 15:45 | 07:10 | 1000.00
IAH | DUB | KLM | 1 (AMS) | 11:50 | 06:40 | 1050.00
IAH | DUB | Iberia | 2 (MAD, LHR) | 09:30 | 08:20 | 1200.00

DUB | IAH | United | 1 (EWR) | 09:00 | 14:30 | 850.00
DUB | IAH | Lufthansa | 2 (FRA, ORD) | 11:15 | 17:50 | 1100.00
DUB | IAH | American | 0 | 13:30 | 18:00 | 900.00
DUB | IAH | Delta | 1 (CDG) | 15:45 | 20:10 | 950.00
DUB | IAH | Aer Lingus | 0 | 10:00 | 15:30 | 800.00
DUB | IAH | British Airways | 1 (LHR) | 12:15 | 17:40 | 1000.00
DUB | IAH | KLM | 1 (AMS) | 08:50 | 14:20 | 1050.00
DUB | IAH | Iberia | 2 (MAD, JFK) | 14:30 | 20:50 | 1200.00


Here are the 16 flight plans:

IAH | EDI | United | 1 (LHR) | 08:00 | 18:30 | 850.00
IAH | EDI | American | 2 (ORD, MAN) | 10:30 | 21:45 | 1050.00
IAH | EDI | British Airways | 1 (LHR) | 12:00 | 22:15 | 1200.00
IAH | EDI | Lufthansa | 2 (FRA, AMS) | 14:00 | 00:30 | 1300.00
IAH | EDI | Delta | 1 (AMS) | 16:00 | 02:15 | 950.00
IAH | EDI | KLM | 2 (AMS, MAN) | 18:00 | 04:30 | 1100.00
IAH | EDI | Turkish Airlines | 2 (IST, AMS) | 20:00 | 06:45 | 1000.00
IAH | EDI | Air France | 1 (CDG) | 22:00 | 08:15 | 1150.00

EDI | IAH | United | 1 (LHR) | 08:30 | 13:45 | 900.00
EDI | IAH | American | 2 (MAN, ORD) | 11:00 | 18:15 | 1100.00
EDI | IAH | British Airways | 1 (LHR) | 13:30 | 20:45 | 1250.00
EDI | IAH | Lufthansa | 2 (AMS, FRA) | 15:30 | 23:00 | 1350.00
EDI | IAH | Delta | 1 (AMS) | 17:30 | 01:45 | 1000.00
EDI | IAH | KLM | 2 (MAN, AMS) | 19:30 | 04:00 | 1050.00
EDI | IAH | Turkish Airlines | 2 (AMS, IST) | 21:30 | 07:15 | 950.00
EDI | IAH | Air France | 1 (CDG) | 23:30 | 09:45 | 1200.00


Here are the 16 flight plans:

IAH | HAN | VN | 1 (NRT) | 09:30 | 22:05 | 850.00
IAH | HAN | SQ | 2 (NRT, SIN) | 11:15 | 01:20 | 1200.00
IAH | HAN | UA | 1 (HKG) | 14:00 | 02:35 | 950.00
IAH | HAN | CX | 1 (HKG) | 16:45 | 05:20 | 1050.00
IAH | HAN | JL | 2 (NRT, KIX) | 18:30 | 07:05 | 1300.00
IAH | HAN | AA | 1 (DFW) | 20:00 | 08:35 | 900.00
IAH | HAN | QR | 1 (DOH) | 21:30 | 10:05 | 1000.00
IAH | HAN | EK | 1 (DXB) | 22:15 | 11:40 | 1100.00

HAN | IAH | VN | 1 (NRT) | 08:00 | 19:35 | 800.00
HAN | IAH | SQ | 2 (SIN, HKG) | 10:45 | 22:20 | 1150.00
HAN | IAH | UA | 1 (HKG) | 13:30 | 01:05 | 900.00
HAN | IAH | CX | 1 (HKG) | 15:15 | 02:50 | 1000.00
HAN | IAH | JL | 2 (KIX, NRT) | 17:00 | 04:35 | 1250.00
HAN | IAH | AA | 1 (DFW) | 19:30 | 06:05 | 850.00
HAN | IAH | QR | 1 (DOH) | 20:45 | 07:20 | 950.00
HAN | IAH | EK | 1 (DXB) | 22:00 | 08:40 | 1050.00


Here are the 16 flight plans:

IAH | HKG | UA | 1 (NRT) | 08:30 | 22:05 | 850.00
IAH | HKG | CX | 0 | 09:15 | 21:45 | 1200.00
IAH | HKG | AA | 2 (DFW, NRT) | 10:00 | 23:30 | 950.00
IAH | HKG | SQ | 1 (SIN) | 11:45 | 02:15 | 1000.00
IAH | HKG | JL | 1 (NRT) | 13:00 | 03:30 | 900.00
IAH | HKG | BR | 1 (TPE) | 14:30 | 04:00 | 1100.00
IAH | HKG | KE | 1 (ICN) | 16:00 | 05:30 | 1050.00
IAH | HKG | CA | 1 (PEK) | 17:45 | 06:15 | 1250.00
HKG | IAH | UA | 1 (NRT) | 08:00 | 20:35 | 850.00
HKG | IAH | CX | 0 | 09:45 | 21:15 | 1200.00
HKG | IAH | AA | 2 (NRT, DFW) | 11:15 | 22:45 | 950.00
HKG | IAH | SQ | 1 (SIN) | 12:50 | 00:20 | 1000.00
HKG | IAH | JL | 1 (NRT) | 14:30 | 02:00 | 900.00
HKG | IAH | BR | 1 (TPE) | 16:15 | 03:45 | 1100.00
HKG | IAH | KE | 1 (ICN) | 18:00 | 05:30 | 1050.00
HKG | IAH | CA | 1 (PEK) | 20:00 | 06:40 | 1250.00


Here are the 16 flight plans:

IAH | IST | Turkish Airlines | Non-stop | 10:30 | 06:30 | 850.00
IAH | IST | Lufthansa | 1 stop (FRA) | 13:15 | 11:45 | 950.00
IAH | IST | Emirates | 1 stop (DXB) | 15:45 | 14:15 | 1050.00
IAH | IST | Qatar Airways | 1 stop (DOH) | 18:00 | 16:30 | 1000.00
IAH | IST | American Airlines | 2 stops (PHL, AMS) | 08:00 | 22:15 | 1200.00
IAH | IST | United Airlines | 2 stops (EWR, FRA) | 11:00 | 01:15 | 1300.00
IAH | IST | Delta Air Lines | Non-stop | 14:30 | 10:30 | 900.00
IAH | IST | KLM | 1 stop (AMS) | 16:15 | 14:45 | 1100.00

IST | IAH | Turkish Airlines | Non-stop | 11:30 | 16:30 | 850.00
IST | IAH | Lufthansa | 1 stop (FRA) | 14:15 | 20:45 | 950.00
IST | IAH | Emirates | 1 stop (DXB) | 17:45 | 00:15 | 1050.00
IST | IAH | Qatar Airways | 1 stop (DOH) | 20:00 | 02:30 | 1000.00
IST | IAH | American Airlines | 2 stops (AMS, PHL) | 09:00 | 23:15 | 1200.00
IST | IAH | United Airlines | 2 stops (FRA, EWR) | 12:00 | 02:15 | 1300.00
IST | IAH | Delta Air Lines | Non-stop | 15:30 | 21:30 | 900.00
IST | IAH | KLM | 1 stop (AMS) | 17:15 | 23:45 | 1100.00


Here are the 16 flight plans:

IAH | TLV | United | 1 (LHR) | 14:30 | 10:35 | 850.00
IAH | TLV | El Al | 0 | 16:45 | 12:50 | 950.00
IAH | TLV | Lufthansa | 1 (FRA) | 10:15 | 06:20 | 1,020.00
IAH | TLV | American | 1 (PHL) | 12:50 | 09:05 | 900.00
IAH | TLV | Turkish | 1 (IST) | 13:30 | 10:40 | 1,050.00
IAH | TLV | Delta | 1 (CDG) | 15:45 | 12:00 | 1,100.00
IAH | TLV | Austrian | 1 (VIE) | 11:20 | 07:30 | 1,080.00
IAH | TLV | British Airways | 1 (LHR) | 17:00 | 13:10 | 1,020.00
TLV | IAH | El Al | 0 | 08:30 | 14:40 | 900.00
TLV | IAH | United | 1 (EWR) | 10:15 | 16:25 | 950.00
TLV | IAH | Lufthansa | 1 (FRA) | 12:45 | 18:55 | 1,020.00
TLV | IAH | American | 1 (PHL) | 14:20 | 20:30 | 1,000.00
TLV | IAH | Turkish | 1 (IST) | 16:00 | 22:10 | 1,050.00
TLV | IAH | Delta | 1 (CDG) | 17:45 | 23:55 | 1,100.00
TLV | IAH | Austrian | 1 (VIE) | 19:20 | 01:30 | 1,080.00
TLV | IAH | British Airways | 1 (LHR) | 20:30 | 02:40 | 1,020.00


Here are the 16 flight plans:

IAH | LIM | American Airlines | Non-stop | 08:00 | 18:35 | 849.00
IAH | LIM | LATAM | 1 stop (SCL) | 09:15 | 20:50 | 929.00
IAH | LIM | United Airlines | Non-stop | 10:30 | 21:05 | 899.00
IAH | LIM | Avianca | 1 stop (BOG) | 11:45 | 22:20 | 959.00
IAH | LIM | Copa Airlines | 1 stop (PTY) | 13:00 | 23:35 | 979.00
IAH | LIM | Aeromexico | 1 stop (MEX) | 14:15 | 00:50 | 1009.00
IAH | LIM | Delta Air Lines | Non-stop | 15:30 | 02:05 | 939.00
IAH | LIM | Interjet | 1 stop (MEX) | 16:45 | 03:20 | 1029.00
LIM | IAH | American Airlines | Non-stop | 08:00 | 14:35 | 849.00
LIM | IAH | LATAM | 1 stop (SCL) | 09:15 | 16:50 | 929.00
LIM | IAH | United Airlines | Non-stop | 10:30 | 18:05 | 899.00
LIM | IAH | Avianca | 1 stop (BOG) | 11:45 | 19:20 | 959.00
LIM | IAH | Copa Airlines | 1 stop (PTY) | 13:00 | 20:35 | 979.00
LIM | IAH | Aeromexico | 1 stop (MEX) | 14:15 | 21:50 | 1009.00
LIM | IAH | Delta Air Lines | Non-stop | 15:30 | 23:05 | 939.00
LIM | IAH | Interjet | 1 stop (MEX) | 16:45 | 00:20 | 1029.00
LIM | IAH | Spirit Airlines | 1 stop (FLL) | 18:00 | 01:35 | 1059.00


Here are the 16 flight plans:

IAH | LHR | United | 0 | 08:30 | 18:30 | 850.00
IAH | LHR | British Airways | 1 (ORD) | 10:00 | 21:00 | 950.00
IAH | LHR | American Airlines | 0 | 12:00 | 22:00 | 900.00
IAH | LHR | Lufthansa | 1 (FRA) | 14:00 | 09:00 (+1) | 1100.00
IAH | LHR | Delta | 0 | 16:00 | 02:00 (+1) | 1000.00
IAH | LHR | Turkish Airlines | 1 (IST) | 18:00 | 14:00 (+1) | 1200.00
IAH | LHR | Air France | 1 (CDG) | 20:00 | 16:00 (+1) | 1300.00
IAH | LHR | KLM | 1 (AMS) | 22:00 | 18:00 (+1) | 1400.00

LHR | IAH | United | 0 | 09:00 | 14:00 | 800.00
LHR | IAH | British Airways | 1 (JFK) | 11:00 | 18:00 | 900.00
LHR | IAH | American Airlines | 0 | 13:00 | 20:00 | 850.00
LHR | IAH | Lufthansa | 1 (FRA) | 15:00 | 23:00 | 1050.00
LHR | IAH | Delta | 0 | 17:00 | 02:00 (+1) | 950.00
LHR | IAH | Turkish Airlines | 1 (IST) | 19:00 | 06:00 (+1) | 1150.00
LHR | IAH | Air France | 1 (CDG) | 21:00 | 09:00 (+1) | 1250.00
LHR | IAH | KLM | 1 (AMS) | 23:00 | 12:00 (+1) | 1350.00


Here are the 16 flight plans:

IAH | MAD | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
IAH | MAD | Iberia | 1 stop (LHR) | 09:30 | 20:15 | 950.00
IAH | MAD | Lufthansa | 1 stop (FRA) | 10:45 | 21:50 | 1050.00
IAH | MAD | United Airlines | Non-stop | 11:15 | 22:45 | 900.00
IAH | MAD | British Airways | 1 stop (LHR) | 12:00 | 23:30 | 1000.00
IAH | MAD | Turkish Airlines | 1 stop (IST) | 13:30 | 01:15 | 1100.00
IAH | MAD | Delta Air Lines | Non-stop | 14:45 | 02:30 | 950.00
IAH | MAD | Air Europa | 1 stop (MXP) | 15:50 | 03:40 | 1050.00
MAD | IAH | Iberia | Non-stop | 08:30 | 13:15 | 900.00
MAD | IAH | American Airlines | 1 stop (PHL) | 09:15 | 14:50 | 1000.00
MAD | IAH | Lufthansa | 1 stop (FRA) | 10:00 | 16:30 | 1100.00
MAD | IAH | United Airlines | Non-stop | 11:00 | 17:45 | 950.00
MAD | IAH | British Airways | 1 stop (LHR) | 12:15 | 19:00 | 1050.00
MAD | IAH | Turkish Airlines | 1 stop (IST) | 13:45 | 21:30 | 1150.00
MAD | IAH | Delta Air Lines | Non-stop | 14:30 | 22:15 | 1000.00
MAD | IAH | Air Europa | 1 stop (MXP) | 15:45 | 23:40 | 1100.00
MAD | IAH | KLM Royal Dutch | 1 stop (AMS) | 16:50 | 01:30 | 1150.00


Here are the 16 flight plans:

IAH | MEX | United | Non-stop | 08:00 | 11:15 | 450.00
IAH | MEX | Aeromexico | Non-stop | 10:30 | 13:45 | 520.00
IAH | MEX | American | 1 stop (DFW) | 12:00 | 16:30 | 380.00
IAH | MEX | Delta | Non-stop | 14:00 | 17:15 | 500.00
IAH | MEX | Frontier | 1 stop (DEN) | 15:30 | 20:45 | 320.00
IAH | MEX | Spirit | 1 stop (FLL) | 17:00 | 22:15 | 280.00
IAH | MEX | LATAM | 2 stops (LAX, GDL) | 18:30 | 01:45 | 420.00
IAH | MEX | VivaAerobus | Non-stop | 20:00 | 23:15 | 400.00
MEX | IAH | United | Non-stop | 08:00 | 10:15 | 480.00
MEX | IAH | Aeromexico | Non-stop | 10:30 | 12:45 | 550.00
MEX | IAH | American | 1 stop (PHX) | 12:00 | 16:30 | 410.00
MEX | IAH | Delta | Non-stop | 14:00 | 16:15 | 530.00
MEX | IAH | Frontier | 1 stop (SAN) | 15:30 | 20:45 | 350.00
MEX | IAH | Spirit | 1 stop (ORD) | 17:00 | 22:15 | 300.00
MEX | IAH | LATAM | 2 stops (SCL, DFW) | 18:30 | 02:45 | 460.00
MEX | IAH | VivaAerobus | Non-stop | 20:00 | 22:15 | 440.00


Here are the 16 flight plans:

IAH | MBJ | United | 1 (MIA) | 08:00 | 12:30 | 450.00
IAH | MBJ | American | 0 | 10:30 | 15:00 | 380.00
IAH | MBJ | Delta | 1 (ATL) | 12:00 | 17:00 | 420.00
IAH | MBJ | Spirit | 1 (FLL) | 14:30 | 19:30 | 320.00
IAH | MBJ | JetBlue | 0 | 16:00 | 20:30 | 400.00
IAH | MBJ | Southwest | 1 (HOU) | 18:00 | 22:30 | 350.00
IAH | MBJ | Frontier | 1 (MCO) | 20:00 | 00:30 | 300.00
IAH | MBJ | Alaska | 1 (SFO) | 22:00 | 02:30 | 480.00

MBJ | IAH | United | 1 (EWR) | 08:30 | 12:00 | 430.00
MBJ | IAH | American | 0 | 11:00 | 14:30 | 410.00
MBJ | IAH | Delta | 1 (JFK) | 13:00 | 17:30 | 450.00
MBJ | IAH | Spirit | 1 (BWI) | 15:30 | 20:00 | 340.00
MBJ | IAH | JetBlue | 0 | 17:30 | 21:00 | 390.00
MBJ | IAH | Southwest | 1 (STL) | 19:30 | 23:30 | 360.00
MBJ | IAH | Frontier | 1 (DEN) | 21:30 | 01:30 | 310.00
MBJ | IAH | Alaska | 1 (LAX) | 23:30 | 03:30 | 490.00


Here are the 16 flight plans:

IAH | YUL | United | Non-stop | 08:00 | 13:15 | 450.00
IAH | YUL | Air Canada | 1 stop (ORD) | 09:30 | 15:45 | 520.00
IAH | YUL | American | Non-stop | 11:00 | 16:20 | 480.00
IAH | YUL | Delta | 1 stop (ATL) | 12:30 | 18:50 | 550.00
IAH | YUL | WestJet | Non-stop | 14:00 | 19:25 | 500.00
IAH | YUL | Lufthansa | 1 stop (FRA) | 15:30 | 22:55 | 620.00
IAH | YUL | Turkish Airlines | 1 stop (IST) | 17:00 | 01:25 | 650.00
IAH | YUL | Air Transat | Non-stop | 19:00 | 00:25 | 530.00
YUL | IAH | United | Non-stop | 08:00 | 11:15 | 420.00
YUL | IAH | Air Canada | 1 stop (YYZ) | 09:30 | 13:45 | 490.00
YUL | IAH | American | Non-stop | 11:00 | 14:20 | 450.00
YUL | IAH | Delta | 1 stop (LGA) | 12:30 | 16:50 | 510.00
YUL | IAH | WestJet | Non-stop | 14:00 | 17:25 | 480.00
YUL | IAH | Lufthansa | 1 stop (MUC) | 15:30 | 20:55 | 590.00
YUL | IAH | Turkish Airlines | 1 stop (IST) | 17:00 | 22:25 | 610.00
YUL | IAH | Air Transat | Non-stop | 19:00 | 22:25 | 500.00


Here are the 16 flight plans:

IAH | BOM | United | 1 (LHR) | 10:30 | 14:45 | 850.00
IAH | BOM | Emirates | 2 (DXB, DEL) | 14:15 | 20:00 | 1200.00
IAH | BOM | Lufthansa | 1 (FRA) | 16:00 | 22:15 | 1100.00
IAH | BOM | Qatar | 1 (DOH) | 18:45 | 00:50 | 1000.00
IAH | BOM | American | 2 (PHL, LHR) | 20:30 | 02:45 | 1300.00
IAH | BOM | Turkish | 1 (IST) | 22:15 | 04:30 | 900.00
IAH | BOM | Delta | 2 (ATL, AMS) | 08:00 | 14:15 | 1400.00
IAH | BOM | Air India | 0 | 12:00 | 18:15 | 800.00

BOM | IAH | Air India | 0 | 02:30 | 08:45 | 750.00
BOM | IAH | Emirates | 1 (DXB) | 05:00 | 11:15 | 1050.00
BOM | IAH | Lufthansa | 1 (FRA) | 07:30 | 13:45 | 1000.00
BOM | IAH | Qatar | 1 (DOH) | 10:00 | 16:15 | 950.00
BOM | IAH | United | 2 (LHR, EWR) | 12:30 | 18:45 | 1250.00
BOM | IAH | Turkish | 1 (IST) | 15:00 | 21:15 | 850.00
BOM | IAH | American | 2 (LHR, PHL) | 18:00 | 00:15 | 1350.00
BOM | IAH | Delta | 2 (AMS, ATL) | 21:30 | 03:45 | 1450.00


Here are the 16 flight plans:

IAH | OSL | United | 1 (LHR) | 08:00 | 18:30 | 850.00
IAH | OSL | Lufthansa | 2 (FRA, CPH) | 10:30 | 21:45 | 1100.00
IAH | OSL | American | 1 (PHL) | 12:00 | 22:15 | 900.00
IAH | OSL | Delta | 0 | 14:30 | 06:00 | 1200.00
IAH | OSL | British Airways | 1 (LHR) | 16:00 | 08:30 | 1000.00
IAH | OSL | KLM | 2 (AMS, CPH) | 18:00 | 12:45 | 1300.00
IAH | OSL | Turkish Airlines | 1 (IST) | 20:00 | 14:30 | 1050.00
IAH | OSL | Iberia | 2 (MAD, LHR) | 22:00 | 18:15 | 1250.00
OSL | IAH | United | 1 (LHR) | 08:30 | 18:00 | 850.00
OSL | IAH | Lufthansa | 2 (FRA, PHL) | 10:45 | 22:10 | 1100.00
OSL | IAH | American | 1 (PHL) | 12:45 | 23:15 | 900.00
OSL | IAH | Delta | 0 | 14:45 | 06:30 | 1200.00
OSL | IAH | British Airways | 1 (LHR) | 16:45 | 09:00 | 1000.00
OSL | IAH | KLM | 2 (AMS, FRA) | 18:45 | 13:45 | 1300.00
OSL | IAH | Turkish Airlines | 1 (IST) | 20:45 | 15:30 | 1050.00
OSL | IAH | Iberia | 2 (MAD, PHL) | 22:45 | 19:15 | 1250.00


Here are the 16 flight plans:

IAH | PTY | United | 1 (MIA) | 08:00 | 13:30 | 450.00
IAH | PTY | American | 0 | 10:30 | 15:45 | 520.00
IAH | PTY | Copa | 1 (SJO) | 12:15 | 18:00 | 480.00
IAH | PTY | Delta | 1 (ATL) | 14:00 | 20:15 | 500.00
IAH | PTY | Spirit | 1 (FLL) | 16:45 | 22:50 | 380.00
IAH | PTY | Avianca | 1 (BOG) | 18:30 | 00:45 | 420.00
IAH | PTY | LATAM | 1 (LIM) | 20:15 | 02:30 | 440.00
IAH | PTY | Aeromexico | 1 (MEX) | 21:50 | 04:05 | 460.00
PTY | IAH | Copa | 0 | 08:00 | 11:30 | 400.00
PTY | IAH | United | 1 (MIA) | 10:30 | 14:45 | 430.00
PTY | IAH | American | 1 (CLT) | 12:15 | 16:30 | 450.00
PTY | IAH | Delta | 1 (ATL) | 14:00 | 18:15 | 470.00
PTY | IAH | Avianca | 1 (BOG) | 16:45 | 20:50 | 410.00
PTY | IAH | LATAM | 1 (LIM) | 18:30 | 22:45 | 440.00
PTY | IAH | Spirit | 1 (FLL) | 20:15 | 00:30 | 390.00
PTY | IAH | Aeromexico | 1 (MEX) | 21:50 | 02:05 | 420.00


Here are the 16 flight plans:

IAH | CDG | United | Non-stop | 08:00 | 18:30 | 850.00
IAH | CDG | Lufthansa | 1 stop (FRA) | 09:30 | 19:15 | 920.00
IAH | CDG | Air France | Non-stop | 10:45 | 20:50 | 950.00
IAH | CDG | American Airlines | 1 stop (PHL) | 11:15 | 21:40 | 980.00
IAH | CDG | Delta | Non-stop | 12:00 | 22:20 | 1000.00
IAH | CDG | KLM | 1 stop (AMS) | 13:30 | 23:45 | 1050.00
IAH | CDG | British Airways | 1 stop (LHR) | 14:45 | 01:00 | 1100.00
IAH | CDG | Turkish Airlines | 1 stop (IST) | 16:00 | 02:30 | 1150.00
CDG | IAH | Air France | Non-stop | 09:00 | 13:30 | 900.00
CDG | IAH | Lufthansa | 1 stop (FRA) | 10:15 | 15:45 | 970.00
CDG | IAH | United | Non-stop | 11:30 | 16:50 | 1000.00
CDG | IAH | American Airlines | 1 stop (PHL) | 12:45 | 18:15 | 1030.00
CDG | IAH | Delta | Non-stop | 14:00 | 19:30 | 1060.00
CDG | IAH | KLM | 1 stop (AMS) | 15:15 | 21:00 | 1100.00
CDG | IAH | British Airways | 1 stop (LHR) | 16:30 | 22:45 | 1140.00
CDG | IAH | Turkish Airlines | 1 stop (IST) | 18:00 | 00:30 | 1190.00
CDG | IAH | Iberia | 1 stop (MAD) | 19:30 | 02:15 | 1220.00


Here are the 16 flight plans:

IAH | HKT | Thai Airways | 1 (NRT) | 10:30 | 07:15 | 850.00
IAH | HKT | Singapore Airlines | 2 (SIN, BKK) | 14:00 | 11:45 | 1050.00
IAH | HKT | Lufthansa | 1 (FRA) | 16:45 | 14:20 | 950.00
IAH | HKT | Qatar Airways | 1 (DOH) | 18:30 | 16:05 | 900.00
IAH | HKT | Emirates | 1 (DXB) | 20:15 | 17:50 | 1000.00
IAH | HKT | Turkish Airlines | 1 (IST) | 21:50 | 19:25 | 850.00
IAH | HKT | China Eastern | 2 (PVG, KMG) | 22:30 | 20:55 | 1100.00
IAH | HKT | Japan Airlines | 1 (NRT) | 23:15 | 20:50 | 900.00
HKT | IAH | Thai Airways | 1 (NRT) | 08:00 | 20:45 | 850.00
HKT | IAH | Singapore Airlines | 2 (BKK, SIN) | 09:30 | 22:15 | 1050.00
HKT | IAH | Lufthansa | 1 (FRA) | 11:00 | 23:40 | 950.00
HKT | IAH | Qatar Airways | 1 (DOH) | 12:30 | 01:05 | 900.00
HKT | IAH | Emirates | 1 (DXB) | 14:15 | 02:50 | 1000.00
HKT | IAH | Turkish Airlines | 1 (IST) | 15:50 | 04:25 | 850.00
HKT | IAH | China Eastern | 2 (KMG, PVG) | 17:30 | 06:05 | 1100.00
HKT | IAH | Japan Airlines | 1 (NRT) | 19:15 | 07:50 | 900.00


Here are the 16 flight plans:

IAH | PRG | United | 1 (FRA) | 08:00 | 18:35 | 850.00
IAH | PRG | Lufthansa | 1 (MUC) | 10:30 | 21:05 | 920.00
IAH | PRG | American | 2 (PHL, AMS) | 12:00 | 23:50 | 1050.00
IAH | PRG | Delta | 1 (CDG) | 14:15 | 02:40 | 1100.00
IAH | PRG | Turkish | 1 (IST) | 16:00 | 04:25 | 1000.00
IAH | PRG | KLM | 1 (AMS) | 18:30 | 06:55 | 950.00
IAH | PRG | British Airways | 1 (LHR) | 20:45 | 09:10 | 1020.00
IAH | PRG | Air France | 1 (CDG) | 22:15 | 10:40 | 980.00
PRG | IAH | Czech Airlines | 1 (AMS) | 06:00 | 14:25 | 900.00
PRG | IAH | Lufthansa | 1 (MUC) | 08:30 | 17:05 | 970.00
PRG | IAH | United | 1 (FRA) | 11:00 | 19:35 | 930.00
PRG | IAH | Delta | 1 (CDG) | 13:15 | 21:40 | 1000.00
PRG | IAH | American | 2 (PHL, AMS) | 15:00 | 00:50 | 1080.00
PRG | IAH | Turkish | 1 (IST) | 17:00 | 03:25 | 960.00
PRG | IAH | KLM | 1 (AMS) | 19:30 | 06:55 | 940.00
PRG | IAH | British Airways | 1 (LHR) | 21:45 | 08:10 | 990.00


Here are the 16 flight plans:

IAH | KEF | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
IAH | KEF | AA | 2 (JFK, LHR) | 10:30 | 20:45 | 950.00
IAH | KEF | DL | 1 (ATL) | 12:15 | 22:40 | 780.00
IAH | KEF | WN | 2 (DEN, ORD) | 14:00 | 00:20 | 650.00
IAH | KEF | LH | 1 (FRA) | 16:00 | 02:25 | 900.00
IAH | KEF | BA | 2 (LHR, GLA) | 18:30 | 04:50 | 1050.00
IAH | KEF | AF | 1 (CDG) | 20:45 | 06:10 | 920.00
IAH | KEF | KL | 2 (AMS, OSLO) | 22:15 | 08:35 | 1000.00

KEF | IAH | UA | 1 (EWR) | 08:00 | 14:30 | 800.00
