

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
SEA | TLV | Turkish | 1 (IST) | 11:15 | 21:40 | 1000.00
SEA | TLV | American | 2 (PHL, MIA) | 12:00 | 23:30 | 1100.00
SEA | TLV | United | 1 (EWR) | 13:30 | 22:15 | 1020.00
SEA | TLV | Air Canada | 2 (YYZ, FRA) | 14:15 | 23:50 | 1150.00
SEA | TLV | British Airways | 1 (LHR) | 15:00 | 22:45 | 1080.00
TLV | SEA | EL AL | 0 | 08:00 | 10:30 | 800.00
TLV | SEA | Lufthansa | 1 (FRA) | 09:30 | 12:15 | 920.00
TLV | SEA | Delta | 2 (CDG, AMS) | 10:45 | 14:50 | 1020.00
TLV | SEA | Turkish | 1 (IST) | 11:15 | 13:40 | 980.00
TLV | SEA | American | 2 (MIA, PHL) | 12:00 | 15:30 | 1080.00
TLV | SEA | United | 1 (EWR) | 13:30 | 14:15 | 1000.00
TLV | SEA | Air Canada | 2 (FRA, YYZ) | 14:15 | 16:50 | 1120.00
TLV | SEA | British Airways | 1 (LHR) | 15:00 | 15:45 | 1040.00
TLV | SEA | KLM | 2 (AMS, SFO) | 16:00 | 18:30 | 1180.00


Here are the 16 flight plans:

SEA | LIM | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
SEA | LIM | Delta Air Lines | 1 stop (DFW) | 09:30 | 20:15 | 720.00
SEA | LIM | United Airlines | Non-stop | 10:00 | 20:45 | 900.00
SEA | LIM | LATAM | 1 stop (SCL) | 11:15 | 22:00 | 650.00
SEA | LIM | Alaska Airlines | 1 stop (LAX) | 12:00 | 23:30 | 780.00
SEA | LIM | Avianca | 1 stop (BOG) | 13:30 | 01:15 | 700.00
SEA | LIM | Copa Airlines | 1 stop (PTY) | 14:45 | 02:30 | 750.00
SEA | LIM | Spirit Airlines | 2 stops (LAX, MEX) | 16:00 | 04:00 | 580.00
LIM | SEA | American Airlines | Non-stop | 08:00 | 14:30 | 920.00
LIM | SEA | Delta Air Lines | 1 stop (ATL) | 09:30 | 16:15 | 790.00
LIM | SEA | United Airlines | Non-stop | 10:00 | 17:45 | 980.00
LIM | SEA | LATAM | 1 stop (SCL) | 11:15 | 19:00 | 720.00
LIM | SEA | Alaska Airlines | 1 stop (LAX) | 12:00 | 20:30 | 850.00
LIM | SEA | Avianca | 1 stop (BOG) | 13:30 | 22:15 | 780.00
LIM | SEA | Copa Airlines | 1 stop (PTY) | 14:45 | 23:30 | 820.00
LIM | SEA | Spirit Airlines | 2 stops (MEX, LAX) | 16:00 | 02:00 | 630.00
LIM | SEA | Aeromexico | 2 stops (MEX, SFO) | 17:30 | 03:30 | 680.00


Here are the 16 flight plans:

SEA | LHR | American Airlines | 1 (PHL) | 08:00 | 18:30 | 850.00
SEA | LHR | British Airways | 0 | 10:30 | 18:00 | 1200.00
SEA | LHR | Delta Air Lines | 1 (ATL) | 12:00 | 21:30 | 950.00
SEA | LHR | United Airlines | 1 (EWR) | 14:00 | 22:30 | 1000.00
SEA | LHR | Lufthansa | 1 (FRA) | 16:00 | 23:30 | 1100.00
SEA | LHR | Air France | 1 (CDG) | 18:00 | 01:30 | 1050.00
SEA | LHR | KLM Royal Dutch | 1 (AMS) | 20:00 | 02:30 | 1020.00
SEA | LHR | Iberia | 1 (MAD) | 22:00 | 04:30 | 980.00

LHR | SEA | American Airlines | 1 (PHL) | 09:00 | 11:30 | 900.00
LHR | SEA | British Airways | 0 | 11:30 | 14:00 | 1300.00
LHR | SEA | Delta Air Lines | 1 (ATL) | 13:30 | 16:30 | 1000.00
LHR | SEA | United Airlines | 1 (EWR) | 15:30 | 18:30 | 1050.00
LHR | SEA | Lufthansa | 1 (FRA) | 17:30 | 20:30 | 1150.00
LHR | SEA | Air France | 1 (CDG) | 19:30 | 22:30 | 1100.00
LHR | SEA | KLM Royal Dutch | 1 (AMS) | 21:30 | 00:30 | 1080.00
LHR | SEA | Iberia | 1 (MAD) | 23:30 | 02:30 | 990.00


Here are the 16 flight plans:

SEA | MAD | American Airlines | Non-stop | 08:00 | 16:30 | 850.00
SEA | MAD | Iberia | 1 stop (LHR) | 10:30 | 19:15 | 920.00
SEA | MAD | Delta Air Lines | Non-stop | 12:45 | 21:10 | 950.00
SEA | MAD | Lufthansa | 1 stop (FRA) | 14:00 | 22:50 | 1000.00
SEA | MAD | United Airlines | 2 stops (SFO, EWR) | 08:30 | 20:40 | 1100.00
SEA | MAD | Air Europa | 1 stop (MXP) | 16:15 | 00:30 | 1050.00
SEA | MAD | Turkish Airlines | 1 stop (IST) | 18:00 | 02:20 | 980.00
SEA | MAD | KLM Royal Dutch | 1 stop (AMS) | 20:45 | 04:55 | 1020.00
MAD | SEA | American Airlines | Non-stop | 09:30 | 11:50 | 900.00
MAD | SEA | Iberia | 1 stop (BCN) | 11:45 | 14:20 | 960.00
MAD | SEA | Delta Air Lines | Non-stop | 14:15 | 16:35 | 990.00
MAD | SEA | Lufthansa | 1 stop (MUC) | 16:30 | 19:00 | 1050.00
MAD | SEA | United Airlines | 2 stops (EWR, SFO) | 10:00 | 14:50 | 1150.00
MAD | SEA | Air Europa | 1 stop (CDG) | 12:45 | 16:15 | 1000.00
MAD | SEA | Turkish Airlines | 1 stop (IST) | 15:00 | 18:30 | 980.00
MAD | SEA | KLM Royal Dutch | 1 stop (AMS) | 17:30 | 20:50 | 1020.00


Here are the 16 flight plans:

SEA | MEX | Alaska Airlines | Non-stop | 08:00 | 14:30 | 450.00
SEA | MEX | American Airlines | 1 stop (PHX) | 09:15 | 16:45 | 520.00
SEA | MEX | Delta Air Lines | Non-stop | 10:30 | 17:00 | 480.00
SEA | MEX | Frontier Airlines | 1 stop (DEN) | 11:45 | 19:15 | 420.00
SEA | MEX | Spirit Airlines | 1 stop (LAS) | 13:00 | 20:30 | 400.00
SEA | MEX | United Airlines | Non-stop | 14:15 | 20:45 | 500.00
SEA | MEX | Aeromexico | Non-stop | 15:30 | 22:00 | 550.00
SEA | MEX | Volaris | 1 stop (GDL) | 17:00 | 23:30 | 380.00
MEX | SEA | Alaska Airlines | Non-stop | 08:00 | 11:30 | 480.00
MEX | SEA | American Airlines | 1 stop (DFW) | 09:15 | 14:45 | 520.00
MEX | SEA | Delta Air Lines | Non-stop | 10:30 | 14:00 | 500.00
MEX | SEA | Frontier Airlines | 1 stop (PHX) | 11:45 | 16:15 | 420.00
MEX | SEA | Spirit Airlines | 1 stop (LAX) | 13:00 | 17:30 | 400.00
MEX | SEA | United Airlines | Non-stop | 14:15 | 17:45 | 550.00
MEX | SEA | Aeromexico | Non-stop | 15:30 | 19:00 | 580.00
MEX | SEA | VivaAerobus | 1 stop (BJX) | 17:00 | 21:30 | 360.00


Here are the 16 flight plans:

SEA | MBJ | American Airlines | Non-stop | 08:00 | 17:30 | 549.00
SEA | MBJ | Delta Air Lines | 1 stop (ATL) | 09:30 | 19:45 | 619.00
SEA | MBJ | United Airlines | Non-stop | 10:15 | 19:50 | 599.00
SEA | MBJ | Alaska Airlines | 1 stop (SFO) | 11:00 | 21:20 | 649.00
SEA | MBJ | JetBlue Airways | Non-stop | 12:45 | 22:15 | 579.00
SEA | MBJ | Spirit Airlines | 1 stop (LAS) | 14:00 | 23:30 | 529.00
SEA | MBJ | Frontier Airlines | 1 stop (DEN) | 15:30 | 00:50 | 549.00
SEA | MBJ | Southwest Airlines | Non-stop | 17:00 | 01:30 | 599.00
MBJ | SEA | American Airlines | Non-stop | 08:00 | 12:30 | 529.00
MBJ | SEA | Delta Air Lines | 1 stop (MIA) | 09:30 | 14:45 | 599.00
MBJ | SEA | United Airlines | Non-stop | 10:15 | 15:50 | 579.00
MBJ | SEA | Alaska Airlines | 1 stop (PDX) | 11:00 | 17:20 | 619.00
MBJ | SEA | JetBlue Airways | Non-stop | 12:45 | 19:15 | 549.00
MBJ | SEA | Spirit Airlines | 1 stop (FLL) | 14:00 | 20:30 | 499.00
MBJ | SEA | Frontier Airlines | 1 stop (PHX) | 15:30 | 22:50 | 529.00
MBJ | SEA | Southwest Airlines | Non-stop | 17:00 | 23:30 | 579.00


Here are the 16 flight plans:

SEA | YUL | Delta | 1 (MSP) | 08:00 | 16:45 | 542.00
SEA | YUL | American | 2 (DFW, ORD) | 09:30 | 19:15 | 623.00
SEA | YUL | United | 1 (SFO) | 11:15 | 20:00 | 598.00
SEA | YUL | WestJet | 0 | 13:45 | 21:30 | 528.00
SEA | YUL | Air Canada | 1 (YYC) | 15:00 | 22:45 | 573.00
SEA | YUL | Alaska | 1 (PDX) | 16:30 | 00:15 | 548.00
SEA | YUL | Lufthansa | 2 (FRA, YYZ) | 18:00 | 02:45 | 683.00
SEA | YUL | British Airways | 1 (LHR) | 20:15 | 05:00 | 648.00
YUL | SEA | Delta | 1 (MSP) | 08:00 | 10:45 | 512.00
YUL | SEA | American | 2 (ORD, DFW) | 09:30 | 13:15 | 593.00
YUL | SEA | United | 1 (SFO) | 11:15 | 14:00 | 568.00
YUL | SEA | WestJet | 0 | 13:45 | 16:30 | 498.00
YUL | SEA | Air Canada | 1 (YYC) | 15:00 | 17:45 | 543.00
YUL | SEA | Alaska | 1 (PDX) | 16:30 | 19:15 | 518.00
YUL | SEA | Lufthansa | 2 (YYZ, FRA) | 18:00 | 22:45 | 653.00
YUL | SEA | British Airways | 1 (LHR) | 20:15 | 01:00 | 618.00


Here are the 16 flight plans:

SEA | BOM | American Airlines | 1 (DXB) | 10:30 | 22:45 | 850.00
SEA | BOM | Emirates | 1 (DXB) | 14:15 | 02:30 | 900.00
SEA | BOM | Lufthansa | 2 (FRA, DEL) | 08:00 | 23:15 | 1100.00
SEA | BOM | Qatar Airways | 1 (DOH) | 16:45 | 04:15 | 950.00
SEA | BOM | Turkish Airlines | 1 (IST) | 12:30 | 01:45 | 1000.00
SEA | BOM | Singapore Airlines | 1 (SIN) | 09:15 | 23:30 | 1050.00
SEA | BOM | Cathay Pacific | 1 (HKG) | 11:45 | 00:15 | 1020.00
SEA | BOM | Japan Airlines | 1 (NRT) | 13:15 | 02:45 | 980.00

BOM | SEA | American Airlines | 1 (DXB) | 01:15 | 06:30 | 800.00
BOM | SEA | Emirates | 1 (DXB) | 03:45 | 09:15 | 850.00
BOM | SEA | Lufthansa | 2 (DEL, FRA) | 05:00 | 18:15 | 1000.00
BOM | SEA | Qatar Airways | 1 (DOH) | 07:15 | 12:45 | 920.00
BOM | SEA | Turkish Airlines | 1 (IST) | 09:45 | 15:15 | 950.00
BOM | SEA | Singapore Airlines | 1 (SIN) | 11:15 | 17:45 | 980.00
BOM | SEA | Cathay Pacific | 1 (HKG) | 13:15 | 20:45 | 1020.00
BOM | SEA | Japan Airlines | 1 (NRT) | 15:15 | 23:45 | 990.00


Here are the 16 flight plans:

SEA | OSL | Norwegian | 0 | 08:00 | 16:30 | 450.00
SEA | OSL | SAS | 1 (LHR) | 10:30 | 19:15 | 620.00
SEA | OSL | Delta | 2 (AMS, CPH) | 12:45 | 22:50 | 850.00
SEA | OSL | Icelandair | 1 (KEF) | 14:15 | 21:40 | 550.00
SEA | OSL | Lufthansa | 2 (FRA, MUC) | 16:00 | 23:55 | 900.00
SEA | OSL | KLM | 1 (AMS) | 17:30 | 22:15 | 600.00
SEA | OSL | British Airways | 1 (LHR) | 19:00 | 23:50 | 700.00
SEA | OSL | United | 2 (EWR, FRA) | 20:45 | 01:20 | 950.00

OSL | SEA | Norwegian | 0 | 08:30 | 09:55 | 480.00
OSL | SEA | SAS | 1 (CPH) | 10:00 | 11:25 | 650.00
OSL | SEA | Icelandair | 1 (KEF) | 11:45 | 13:10 | 580.00
OSL | SEA | Lufthansa | 2 (MUC, FRA) | 13:15 | 14:40 | 920.00
OSL | SEA | KLM | 1 (AMS) | 14:50 | 16:15 | 630.00
OSL | SEA | British Airways | 1 (LHR) | 16:20 | 17:45 | 730.00
OSL | SEA | United | 2 (FRA, EWR) | 18:00 | 19:25 | 980.00
OSL | SEA | Delta | 2 (CPH, AMS) | 19:40 | 21:05 | 840.00


Here are the 16 flight plans:

SEA | PTY | American Airlines | Non-stop | 08:00 | 17:30 | 598.00
SEA | PTY | Delta Air Lines | 1 stop (MIA) | 09:15 | 19:45 | 648.00
SEA | PTY | United Airlines | Non-stop | 10:30 | 20:00 | 678.00
SEA | PTY | Spirit Airlines | 1 stop (FLL) | 11:45 | 22:15 | 548.00
SEA | PTY | Alaska Airlines | Non-stop | 13:00 | 22:30 | 698.00
SEA | PTY | JetBlue Airways | 1 stop (JFK) | 14:15 | 23:45 | 628.00
SEA | PTY | Frontier Airlines | 1 stop (DEN) | 15:30 | 00:00 | 578.00
SEA | PTY | Southwest Airlines | Non-stop | 16:45 | 00:15 | 648.00
PTY | SEA | Copa Airlines | Non-stop | 08:00 | 13:30 | 598.00
PTY | SEA | American Airlines | 1 stop (CLT) | 09:15 | 15:45 | 648.00
PTY | SEA | Delta Air Lines | Non-stop | 10:30 | 16:00 | 678.00
PTY | SEA | United Airlines | 1 stop (EWR) | 11:45 | 18:15 | 628.00
PTY | SEA | Spirit Airlines | 1 stop (ORD) | 13:00 | 19:30 | 548.00
PTY | SEA | Alaska Airlines | Non-stop | 14:15 | 20:45 | 698.00
PTY | SEA | JetBlue Airways | 1 stop (BOS) | 15:30 | 22:00 | 578.00
PTY | SEA | Frontier Airlines | 1 stop (LAS) | 16:45 | 23:15 | 608.00


Here are the 16 flight plans:

SEA | CDG | American Airlines | Non-stop | 08:00 | 16:30 | 850.00
SEA | CDG | Delta Air Lines | 1 stop (AMS) | 10:30 | 19:15 | 720.00
SEA | CDG | Air France | Non-stop | 14:00 | 22:30 | 950.00
SEA | CDG | Lufthansa | 1 stop (FRA) | 16:00 | 23:55 | 780.00
SEA | CDG | United Airlines | 2 stops (SFO, EWR) | 18:00 | 02:10 | 620.00
SEA | CDG | KLM Royal Dutch | 1 stop (AMS) | 20:00 | 03:40 | 690.00
SEA | CDG | Iberia | 2 stops (MAD, LHR) | 22:00 | 06:20 | 650.00
SEA | CDG | British Airways | 1 stop (LHR) | 00:30 | 08:50 | 810.00
CDG | SEA | Air France | Non-stop | 09:00 | 10:30 | 900.00
CDG | SEA | Delta Air Lines | 1 stop (JFK) | 11:30 | 14:15 | 750.00
CDG | SEA | Lufthansa | 1 stop (FRA) | 13:00 | 16:25 | 820.00
CDG | SEA | American Airlines | 2 stops (PHL, ORD) | 15:00 | 20:10 | 680.00
CDG | SEA | United Airlines | 1 stop (EWR) | 17:00 | 21:30 | 790.00
CDG | SEA | KLM Royal Dutch | 1 stop (AMS) | 19:00 | 23:40 | 720.00
CDG | SEA | Iberia | 2 stops (MAD, BOS) | 21:00 | 02:20 | 660.00
CDG | SEA | British Airways | 1 stop (LHR) | 23:00 | 02:50 | 850.00
CDG | SEA | Swiss International | 1 stop (ZRH) | 01:00 | 04:30 | 780.00


Here are the 16 flight plans:

SEA | HKT | Thai Airways | Non-stop | 09:00 | 22:30 | 650.00
SEA | HKT | Japan Airlines | 1 (NRT) | 10:30 | 23:45 | 720.00
SEA | HKT | Korean Air | 1 (ICN) | 11:15 | 00:50 | 850.00
SEA | HKT | China Eastern | 1 (PVG) | 12:00 | 02:20 | 780.00
SEA | HKT | Asiana Airlines | 1 (ICN) | 13:45 | 04:10 | 900.00
SEA | HKT | Cathay Pacific | Non-stop | 15:30 | 05:50 | 820.00
SEA | HKT | Singapore Airlines | 1 (SIN) | 16:15 | 06:40 | 950.00
SEA | HKT | Malaysia Airlines | 1 (KUL) | 17:00 | 07:30 | 870.00
HKT | SEA | Thai Airways | Non-stop | 08:00 | 19:30 | 680.00
HKT | SEA | Japan Airlines | 1 (NRT) | 09:30 | 21:45 | 750.00
HKT | SEA | Korean Air | 1 (ICN) | 10:15 | 23:50 | 890.00
HKT | SEA | China Eastern | 1 (PVG) | 11:00 | 01:20 | 810.00
HKT | SEA | Asiana Airlines | 1 (ICN) | 12:45 | 03:10 | 940.00
HKT | SEA | Cathay Pacific | Non-stop | 14:30 | 05:50 | 850.00
HKT | SEA | Singapore Airlines | 1 (SIN) | 15:15 | 06:40 | 980.00
HKT | SEA | Malaysia Airlines | 1 (KUL) | 16:00 | 07:30 | 910.00
HKT | SEA | Vietnam Airlines | 1 (SGN) | 17:00 | 08:30 | 860.00


Here are the 16 flight plans:

SEA | PRG | Delta | 1 (AMS) | 08:00 | 18:30 | 850.00
SEA | PRG | Lufthansa | 2 (FRA, MUC) | 09:30 | 20:15 | 1100.00
SEA | PRG | KLM | 1 (AMS) | 10:00 | 19:20 | 900.00
SEA | PRG | United | 1 (EWR) | 11:15 | 20:50 | 950.00
SEA | PRG | American | 2 (PHL, CDG) | 12:30 | 22:10 | 1250.00
SEA | PRG | British Airways | 1 (LHR) | 13:45 | 22:40 | 1050.00
SEA | PRG | Swiss | 1 (ZRH) | 14:15 | 23:00 | 1000.00
SEA | PRG | Turkish | 1 (IST) | 15:00 | 23:30 | 1200.00
PRG | SEA | Czech Airlines | 1 (FRA) | 06:00 | 14:30 | 800.00
PRG | SEA | Lufthansa | 1 (MUC) | 07:30 | 16:00 | 900.00
PRG | SEA | KLM | 1 (AMS) | 08:30 | 17:00 | 850.00
PRG | SEA | Delta | 1 (CDG) | 09:30 | 18:20 | 950.00
PRG | SEA | United | 1 (EWR) | 10:30 | 19:10 | 1000.00
PRG | SEA | American | 2 (PHL, JFK) | 11:30 | 20:50 | 1250.00
PRG | SEA | British Airways | 1 (LHR) | 12:30 | 21:20 | 1100.00
PRG | SEA | Swiss | 1 (ZRH) | 13:30 | 22:00 | 1050.00
PRG | SEA | Turkish | 1 (IST) | 14:30 | 23:10 | 1200.00


Here are the 16 flight plans:

SEA | KEF | Icelandair | 1 (YUL) | 08:00 | 18:30 | 450.00
SEA | KEF | Delta | 2 (JFK, LHR) | 10:00 | 21:15 | 620.00
SEA | KEF | American Airlines | 1 (PHL) | 12:00 | 22:45 | 550.00
SEA | KEF | Lufthansa | 2 (FRA, OSLO) | 14:00 | 23:50 | 700.00
SEA | KEF | United | 1 (EWR) | 16:00 | 00:30 | 480.00
SEA | KEF | Air Canada | 2 (YYZ, LHR) | 18:00 | 02:15 | 650.00
SEA | KEF | British Airways | 1 (LHR) | 20:00 | 04:45 | 580.00
SEA | KEF | KLM | 2 (AMS, OSLO) | 22:00 | 06:30 | 720.00
KEF | SEA | Icelandair | 1 (YUL) | 08:30 | 14:00 | 420.00
KEF | SEA | Delta | 2 (LHR, JFK) | 10:30 | 18:45 | 600.00
KEF | SEA | American Airlines | 1 (PHL) | 12:30 | 20:15 | 520.00
KEF | SEA | Lufthansa | 2 (OSLO, FRA) | 14:30 | 22:20 | 680.00
KEF | SEA | United | 1 (EWR) | 16:30 | 00:05 | 460.00
KEF | SEA | Air Canada | 2 (LHR, YYZ) | 18:30 | 02:50 | 630.00
KEF | SEA | British Airways | 1 (LHR) | 20:30 | 04:20 | 560.00
KEF | SEA | KLM | 2 (OSLO, AMS) | 22:30 | 06:00 | 710.00


Here are the 16 flight plans:

SEA | GIG | American Airlines | 1 (DFW) | 08:00 | 20:30 | 850.00
SEA | GIG | Delta Air Lines | 2 (ATL, GRU) | 10:30 | 23:45 | 1200.00
SEA | GIG | United Airlines | 1 (IAH) | 12:00 | 22:15 | 900.00
SEA | GIG | LATAM | 0 | 14:30 | 06:00 | 700.00
SEA | GIG | Alaska Airlines | 1 (LAX) | 16:00 | 04:30 | 950.00
SEA | GIG | Avianca | 2 (BOG, LIM) | 18:00 | 07:15 | 1100.00
SEA | GIG | Copa Airlines | 1 (PTY) | 20:00 | 09:45 | 1000.00
SEA | GIG | Azul Brazilian Airlines | 0 | 22:00 | 12:30 | 800.00

GIG | SEA | American Airlines | 1 (DFW) | 09:00 | 21:30 | 850.00
GIG | SEA | Delta Air Lines | 2 (GRU, ATL) | 11:30 | 01:45 | 1200.00
GIG | SEA | United Airlines | 1 (IAH) | 13:00 | 23:15 | 900.00
GIG | SEA | LATAM | 0 | 15:30 | 07:00 | 700.00
GIG | SEA | Alaska Airlines | 1 (LAX) | 17:00 | 05:30 | 950.00
GIG | SEA | Avianca | 2 (LIM, BOG) | 19:00 | 08:15 | 1100.00
GIG | SEA | Copa Airlines | 1 (PTY) | 21:00 | 10:45 | 1000.00
GIG | SEA | Azul Brazilian Airlines | 0 | 23:00 | 14:30 | 800.00


Here are the 16 flight plans:

SEA | FCO | American Airlines | Non-stop | 08:00 | 16:30 | 850.00
SEA | FCO | Lufthansa | 1 (FRA) | 10:30 | 19:00 | 950.00
SEA | FCO | Delta Air Lines | Non-stop | 12:00 | 20:30 | 1,050.00
SEA | FCO | British Airways | 1 (LHR) | 14:00 | 22:30 | 1,100.00
SEA | FCO | United Airlines | 1 (EWR) | 16:00 | 00:30 | 1,200.00
SEA | FCO | Air France | 1 (CDG) | 18:00 | 02:30 | 1,250.00
SEA | FCO | Turkish Airlines | 1 (IST) | 20:00 | 04:30 | 1,300.00
SEA | FCO | KLM Royal Dutch | 1 (AMS) | 22:00 | 06:30 | 1,350.00

FCO | SEA | Alitalia | Non-stop | 08:00 | 10:30 | 900.00
FCO | SEA | Swiss International | 1 (ZRH) | 10:30 | 13:00 | 1,050.00
FCO | SEA | Austrian Airlines | 1 (VIE) | 12:30 | 15:00 | 1,100.00
FCO | SEA | Iberia | 1 (MAD) | 14:30 | 17:00 | 1,150.00
FCO | SEA | TAP Air Portugal | 1 (LIS) | 16:30 | 19:00 | 1,200.00
FCO | SEA | Brussels Airlines | 1 (BRU) | 18:30 | 21:00 | 1,250.00
FCO | SEA | LOT Polish Airlines | 1 (WAW) | 20:30 | 23:00 | 1,300.00
FCO | SEA | Finnair | 1 (HEL) | 22:30 | 01:00 | 1,350.00


Here are the 16 flight plans:

SEA | SCL | American Airlines | 1 (LAX) | 08:00 | 21:30 | 850.00
SEA | SCL | Delta Air Lines | 1 (ATL) | 10:30 | 23:50 | 920.00
SEA | SCL | LATAM | 0 | 14:00 | 06:00 | 1050.00
SEA | SCL | United Airlines | 1 (SFO) | 16:00 | 08:30 | 980.00
SEA | SCL | Alaska Airlines | 1 (LAX) | 18:00 | 10:30 | 900.00
SEA | SCL | Avianca | 1 (BOG) | 20:00 | 12:30 | 1100.00
SEA | SCL | Copa Airlines | 1 (PTY) | 22:00 | 14:30 | 1000.00
SEA | SCL | Spirit Airlines | 1 (FLL) | 00:30 | 16:30 | 950.00

SCL | SEA | LATAM | 0 | 08:00 | 19:00 | 1050.00
SCL | SEA | American Airlines | 1 (DFW) | 10:30 | 22:30 | 930.00
SCL | SEA | Delta Air Lines | 1 (ATL) | 12:30 | 00:30 | 960.00
SCL | SEA | United Airlines | 1 (IAH) | 14:30 | 02:30 | 1000.00
SCL | SEA | Avianca | 1 (BOG) | 16:30 | 04:30 | 1100.00
SCL | SEA | Alaska Airlines | 1 (LAX) | 18:30 | 06:30 | 920.00
SCL | SEA | Copa Airlines | 1 (PTY) | 20:30 | 08:30 | 980.00
SCL | SEA | Spirit Airlines | 1 (FLL) | 22:30 | 10:30 | 950.00


Here are the 16 flight plans:

SEA | ICN | Delta | Non-stop | 08:00 | 19:30 | 850.00
SEA | ICN | Korean Air | Non-stop | 10:30 | 22:00 | 900.00
SEA | ICN | Asiana | 1 stop (NRT) | 09:00 | 21:30 | 750.00
SEA | ICN | Japan Airlines | 1 stop (HND) | 11:00 | 23:30 | 800.00
SEA | ICN | China Eastern | 1 stop (PVG) | 08:30 | 21:00 | 700.00
SEA | ICN | American Airlines | 1 stop (DFW) | 09:30 | 22:30 | 850.00
SEA | ICN | United | 2 stops (SFO, NRT) | 08:00 | 23:00 | 650.00
SEA | ICN | ANA | 2 stops (SFO, HND) | 10:00 | 23:30 | 700.00
ICN | SEA | Delta | Non-stop | 10:00 | 06:30 | 900.00
ICN | SEA | Korean Air | Non-stop | 12:00 | 08:30 | 950.00
ICN | SEA | Asiana | 1 stop (NRT) | 11:30 | 09:00 | 800.00
ICN | SEA | Japan Airlines | 1 stop (HND) | 13:00 | 10:30 | 850.00
ICN | SEA | China Eastern | 1 stop (PVG) | 12:30 | 09:30 | 750.00
ICN | SEA | American Airlines | 1 stop (DFW) | 14:00 | 11:30 | 900.00
ICN | SEA | United | 2 stops (NRT, SFO) | 13:30 | 12:00 | 700.00
ICN | SEA | ANA | 2 stops (HND, SFO) | 15:00 | 12:30 | 750.00


Here are the 16 flight plans:

SEA | PVG | Delta | Non-stop | 08:30 | 11:35 | 550.00
SEA | PVG | China Eastern | 1 stop (NRT) | 09:15 | 12:50 | 480.00
SEA | PVG | American | Non-stop | 10:00 | 13:05 | 520.00
SEA | PVG | Japan Airlines | 1 stop (HND) | 11:30 | 15:20 | 500.00
SEA | PVG | Korean Air | 1 stop (ICN) | 12:45 | 16:35 | 490.00
SEA | PVG | Asiana | 1 stop (ICN) | 13:50 | 17:40 | 470.00
SEA | PVG | Cathay Pacific | 1 stop (HKG) | 15:00 | 18:50 | 510.00
SEA | PVG | EVA Air | 1 stop (TPE) | 16:15 | 20:05 | 530.00
PVG | SEA | Delta | Non-stop | 08:30 | 05:35 | 580.00
PVG | SEA | China Eastern | 1 stop (NRT) | 09:15 | 06:50 | 510.00
PVG | SEA | American | Non-stop | 10:00 | 07:05 | 550.00
PVG | SEA | Japan Airlines | 1 stop (HND) | 11:30 | 09:20 | 520.00
PVG | SEA | Korean Air | 1 stop (ICN) | 12:45 | 10:35 | 500.00
PVG | SEA | Asiana | 1 stop (ICN) | 13:50 | 11:40 | 480.00
PVG | SEA | Cathay Pacific | 1 stop (HKG) | 15:00 | 12:50 | 540.00
PVG | SEA | EVA Air | 1 stop (TPE) | 16:15 | 13:05 | 560.00
PVG | SEA | China Airlines | 1 stop (TPE) | 17:30 | 14:20 | 490.00


Here are the 16 flight plans:

SEA | SIN | SQ | 0 | 08:30 | 19:45 | 850.00
SEA | SIN | JL | 1 (NRT) | 09:15 | 21:20 | 950.00
SEA | SIN | UA | 1 (HKG) | 10:00 | 22:05 | 1050.00
SEA | SIN | CX | 1 (HKG) | 11:30 | 23:35 | 1200.00
SEA | SIN | AA | 2 (LAX, NRT) | 12:45 | 02:10 | 1300.00
SEA | SIN | DL | 1 (ICN) | 14:00 | 02:50 | 1400.00
SEA | SIN | KE | 1 (ICN) | 15:15 | 03:55 | 1450.00
SEA | SIN | BR | 1 (TPE) | 16:30 | 05:20 | 1500.00
SIN | SEA | SQ | 0 | 08:00 | 06:25 | 900.00
SIN | SEA | JL | 1 (NRT) | 09:45 | 08:10 | 1000.00
SIN | SEA | UA | 1 (HKG) | 11:10 | 09:35 | 1150.00
SIN | SEA | CX | 1 (HKG) | 12:40 | 11:05 | 1250.00
SIN | SEA | AA | 2 (LAX, NRT) | 14:05 | 12:30 | 1350.00
SIN | SEA | DL | 1 (ICN) | 15:20 | 13:45 | 1400.00
SIN | SEA | KE | 1 (ICN) | 16:35 | 15:00 | 1450.00
SIN | SEA | BR | 1 (TPE) | 17:50 | 16:15 | 1500.00
SIN | SEA | AS | 1 (HNL) | 19:10 | 17:35 | 1550.00


Here are the 16 flight plans:

SEA | SPU | American Airlines | Non-stop | 06:00 | 08:15 | 250.00
SEA | SPU | Delta Air Lines | 1 stop (LAX) | 08:30 | 11:45 | 320.00
SEA | SPU | United Airlines | Non-stop | 10:00 | 12:20 | 280.00
SEA | SPU | Alaska Airlines | 1 stop (PDX) | 12:15 | 15:30 | 350.00
SEA | SPU | Spirit Airlines | 1 stop (LAS) | 14:00 | 17:20 | 220.00
SEA | SPU | Frontier Airlines | Non-stop | 16:00 | 18:25 | 240.00
