

Here are the 16 flight plans:

MCO | TPA | AA | Non-stop | 06:00 | 07:15 | 120.00
MCO | HKT | United | 2 (SFO, NRT) | 21:45 | 09:50 | 1120.00
MCO | HKT | American Airlines | 2 (DFW, NRT) | 23:59 | 11:40 | 1160.00
HKT | MCO | Thai Airways | 1 (NRT) | 00:30 | 06:15 | 850.00
HKT | MCO | Japan Airlines | 1 (HND) | 02:45 | 08:30 | 920.00
HKT | MCO | ANA | 1 (NRT) | 05:00 | 11:00 | 950.00
HKT | MCO | Delta | 1 (ICN) | 07:30 | 13:30 | 980.00
HKT | MCO | Korean Air | 1 (ICN) | 10:00 | 16:00 | 1010.00
HKT | MCO | China Eastern | 1 (PVG) | 12:45 | 18:45 | 1040.00
HKT | MCO | United | 2 (NRT, SFO) | 15:15 | 21:10 | 1120.00
HKT | MCO | American Airlines | 2 (NRT, DFW) | 17:45 | 23:40 | 1160.00


Here are the 16 flight plans:

MCO | PRG | Delta | 1 (AMS) | 08:00 | 18:30 | 850.00
MCO | PRG | Lufthansa | 2 (FRA, MUC) | 10:30 | 20:15 | 1100.00
MCO | PRG | American Airlines | 0 | 13:45 | 21:50 | 950.00
MCO | PRG | KLM | 1 (AMS) | 15:15 | 23:40 | 1000.00
MCO | PRG | United | 2 (EWR, FRA) | 17:00 | 02:10 | 1200.00
MCO | PRG | Air Canada | 1 (YYZ) | 19:30 | 04:50 | 1050.00
MCO | PRG | British Airways | 1 (LHR) | 21:45 | 06:05 | 1150.00
MCO | PRG | Swiss | 2 (ZRH, GVA) | 23:59 | 09:20 | 1300.00
PRG | MCO | Czech Airlines | 0 | 06:00 | 13:35 | 800.00
PRG | MCO | Delta | 1 (CDG) | 08:30 | 16:05 | 900.00
PRG | MCO | Lufthansa | 2 (MUC, FRA) | 11:15 | 19:40 | 1000.00
PRG | MCO | American Airlines | 1 (PHL) | 13:50 | 21:20 | 950.00
PRG | MCO | KLM | 1 (AMS) | 16:20 | 23:45 | 1050.00
PRG | MCO | United | 2 (EWR, IAD) | 18:45 | 02:55 | 1150.00
PRG | MCO | Air Canada | 1 (YYZ) | 21:10 | 06:35 | 1100.00
PRG | MCO | British Airways | 1 (LHR) | 23:30 | 08:50 | 1250.00


Here are the 16 flight plans:

MCO | KEF | Icelandair | 1 (BOS) | 08:00 | 18:30 | 549.00
MCO | KEF | American Airlines | 2 (PHL, LHR) | 10:00 | 21:45 | 649.00
MCO | KEF | Delta Air Lines | 1 (JFK) | 12:00 | 20:30 | 599.00
MCO | KEF | United Airlines | 1 (EWR) | 14:00 | 22:15 | 619.00
MCO | KEF | Lufthansa | 2 (FRA, OSLO) | 16:00 | 00:30 | 749.00
MCO | KEF | British Airways | 1 (LHR) | 18:00 | 01:15 | 679.00
MCO | KEF | Air Canada | 2 (YYZ, LHR) | 20:00 | 03:45 | 729.00
MCO | KEF | KLM Royal Dutch | 1 (AMS) | 22:00 | 05:30 | 699.00

KEF | MCO | Icelandair | 1 (BOS) | 08:00 | 18:30 | 549.00
KEF | MCO | American Airlines | 2 (LHR, PHL) | 10:00 | 21:45 | 649.00
KEF | MCO | Delta Air Lines | 1 (JFK) | 12:00 | 20:30 | 599.00
KEF | MCO | United Airlines | 1 (EWR) | 14:00 | 22:15 | 619.00
KEF | MCO | Lufthansa | 2 (OSLO, FRA) | 16:00 | 00:30 | 749.00
KEF | MCO | British Airways | 1 (LHR) | 18:00 | 01:15 | 679.00
KEF | MCO | Air Canada | 2 (LHR, YYZ) | 20:00 | 03:45 | 729.00
KEF | MCO | KLM Royal Dutch | 1 (AMS) | 22:00 | 05:30 | 699.00
